selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
efficiency,0.985,1.0,1.0,0.1,99.0
efficiency,0.98,1.0,1.0,0.1,98.0
efficiency,0.975,1.0,1.0,0.1,97.0
efficiency,0.97,1.0,1.0,0.1,96.0
efficiency,0.965,1.0,1.0,0.1,95.0
fairness,0.965,0.995,1.0,0.1,94.0
fairness,0.965,0.99,1.0,0.1,93.0
fairness,0.965,0.985,1.0,0.1,92.0
fairness,0.965,0.97,1.0,0.1,91.0
fairness,0.965,0.965,1.0,0.1,90.0
efficiency,0.96,0.965,1.0,0.1,89.0
efficiency,0.955,0.965,1.0,0.1,88.0
efficiency,0.95,0.965,1.0,0.1,87.0
efficiency,0.945,0.965,1.0,0.1,86.0
efficiency,0.95,0.965,1.0,0.1,85.0
fairness,0.95,0.96,1.0,0.1,84.0
fairness,0.95,0.955,1.0,0.1,83.0
fairness,0.95,0.95,1.0,0.1,82.0
fairness,0.95,0.9349999999999999,1.0,0.1,81.0
fairness,0.95,0.9299999999999999,1.0,0.1,80.0
exploration,0.95,0.9299999999999999,0.985,0.1,99.0
exploration,0.95,0.9299999999999999,0.98,0.1,98.0
exploration,0.95,0.9299999999999999,0.975,0.1,97.0
exploration,0.95,0.9299999999999999,0.99,0.1,100.0
exploration,0.95,0.9299999999999999,0.985,0.1,99.0
efficiency,0.9349999999999999,0.9299999999999999,0.985,0.1,98.0
efficiency,0.9299999999999999,0.9299999999999999,0.985,0.1,97.0
efficiency,0.9249999999999999,0.9299999999999999,0.985,0.1,96.0
efficiency,0.9099999999999999,0.9299999999999999,0.985,0.1,95.0
efficiency,0.9249999999999999,0.9299999999999999,0.985,0.1,94.0
exploration,0.9249999999999999,0.9299999999999999,0.96,0.1,93.0
exploration,0.9249999999999999,0.9299999999999999,0.965,0.1,92.0
exploration,0.9249999999999999,0.9299999999999999,0.96,0.1,91.0
exploration,0.9249999999999999,0.9299999999999999,0.965,0.1,90.0
exploration,0.9249999999999999,0.9299999999999999,0.95,0.1,89.0
exploration,0.9249999999999999,0.9299999999999999,0.9249999999999999,0.1,88.0
exploration,0.9249999999999999,0.9299999999999999,0.94,0.1,87.0
exploration,0.9249999999999999,0.9299999999999999,0.9149999999999999,0.1,86.0
exploration,0.9249999999999999,0.9299999999999999,0.9199999999999999,0.1,85.0
exploration,0.9249999999999999,0.9299999999999999,0.9049999999999999,0.1,84.0
fairness,0.9249999999999999,0.9149999999999999,0.9049999999999999,0.1,99.0
fairness,0.9249999999999999,0.9099999999999999,0.9049999999999999,0.1,98.0
fairness,0.9249999999999999,0.9049999999999999,0.9049999999999999,0.1,97.0
fairness,0.9249999999999999,0.8999999999999999,0.9049999999999999,0.1,96.0
fairness,0.9249999999999999,0.8849999999999999,0.9049999999999999,0.1,95.0
efficiency,0.9199999999999999,0.8849999999999999,0.9049999999999999,0.1,94.0
efficiency,0.9149999999999999,0.8849999999999999,0.9049999999999999,0.1,93.0
efficiency,0.9099999999999999,0.8849999999999999,0.9049999999999999,0.1,92.0
efficiency,0.9049999999999999,0.8849999999999999,0.9049999999999999,0.1,91.0
efficiency,0.9099999999999999,0.8849999999999999,0.9049999999999999,0.1,90.0
fairness,0.9099999999999999,0.8799999999999999,0.9049999999999999,0.1,89.0
fairness,0.9099999999999999,0.8749999999999999,0.9049999999999999,0.1,88.0
fairness,0.9099999999999999,0.8699999999999999,0.9049999999999999,0.1,87.0
fairness,0.9099999999999999,0.8549999999999999,0.9049999999999999,0.1,86.0
fairness,0.9099999999999999,0.8499999999999999,0.9049999999999999,0.1,85.0
exploration,0.9099999999999999,0.8499999999999999,0.8999999999999999,0.1,84.0
exploration,0.9099999999999999,0.8499999999999999,0.8949999999999999,0.1,83.0
exploration,0.9099999999999999,0.8499999999999999,0.8799999999999999,0.1,82.0
